Order list for /Users/guvvy/Documents/github/eagle/CalibrationBoard/CalibrationBoard.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
1	+9V_BATTERY_HOLDER	BC9VPC	unknown					
7	2.2uF	C0805	unknown					
3	0.1uF	C0805	unknown					
2	1uF	C0805	unknown					
1	47pF	C0805	2332727	AVX	08052U470FAT2A	3770	0.088	AVX - 08052U470FAT2A - CAP, MLCC, C0G/NP0, 47PF, 200V, 0805
1	1.2nF	C0805	1650948	VISHAY VITRAMON	VJ0805A122FXBMT	5863	0.0403	VISHAY VITRAMON - VJ0805A122FXBMT - CAP, MLCC, C0G/NP0, 1.2NF, 100V, 0805
1	10nF	C0805	unknown					
1	100nF	C0805	1740673	AVX	08055C104JAT2A	203426	0.0155	AVX - 08055C104JAT2A - CAP, MLCC, X7R, 100NF, 50V, 0805
1	10uF	C0805	unknown					
1	100uF	E5-10,5	unknown					
1	MBR60H100CTG	TO220ABS	1431072	ON SEMICONDUCTOR	MBR60H100CTG	665	0.501	ON SEMICONDUCTOR - MBR60H100CTG - DIODE, SCHOTTKY, 60A, 100V, TO-220
1	12A	LITTLEFUSE	1345957	TE CONNECTIVITY / RAYCHEM	RGEF1200	110	0.351	TE CONNECTIVITY / RAYCHEM - RGEF1200 - POLYSWITCH, RADIAL, 12A
1	1.1A	1812	1345925	TE CONNECTIVITY / RAYCHEM	MINISMDC110F/24-2	2983	0.188	TE CONNECTIVITY / RAYCHEM - MINISMDC110F/24-2 - POLYSWITCH, SMD, 1812, 1.1A
5	BANANA_CONN_RED	BANANA_CONN	1011402	HIRSCHMANN TEST AND MEASUREMENT	972354101	1602	2.04	HIRSCHMANN TEST AND MEASUREMENT - 972354101 - BANANA SOCKET, 32A, 4MM, PANEL, RED
4	BANANA_CONN_BLACK	BANANA_CONN	1011402	HIRSCHMANN TEST AND MEASUREMENT	972354101	1602	2.04	HIRSCHMANN TEST AND MEASUREMENT - 972354101 - BANANA SOCKET, 32A, 4MM, PANEL, RED
1	SK104-PAD	SK104-PAD	1319811	FISCHER ELEKTRONIK	SK 129 38,1 STS	231	1.14	FISCHER ELEKTRONIK - SK 129 38,1 STS - HEAT SINK, EXTRUDED, PCB MOUNTING
1	1nH	L1812	unknown					
1	330nH	L2825P	2333647	BOURNS	CW252016-R33G	1849	0.136	BOURNS - CW252016-R33G - INDUCTOR, 330NH, 2%, 0.5A, SMD
1	1uH	L1812	2287053	COILCRAFT	1812PS-102JLC	778	0.724	COILCRAFT - 1812PS-102JLC - INDUCTOR, PWR, 1UH, 2.7A, 5%, 685MHZ
1	100uH	L1812	2287073	COILCRAFT	1812PS-104JLB	75	0.63	COILCRAFT - 1812PS-104JLB - INDUCTOR, PWR, 100UH, 0.65A,5%,14MHZ
1	4.7mH	6000-XXXX-RC	2211696	WURTH ELEKTRONIK	7447721047	150	0.514	WURTH ELEKTRONIK - 7447721047 - INDUCTOR, POWER, 4700UH, 5%, 9.5X9.5MM
1	RED_LED	P-LCC-2	1519491	DIALIGHT	597-3121-207F	1506	0.148	DIALIGHT - 597-3121-207F - LED, PLCC, RED
1	OSHW-LOGOL	OSHW-LOGO-L	unknown					
6	MOUNT_HOLE	3,81/1,4	unknown					
